Province,year,House Prices,Kilotonnes,Crime/100000,Immigration Totals,Med Imm Wages,Household Income,Population
Newfoundland,2015.00,299300.00,11299.00,6370.75,390.00,35200.00,341412.00,2113237.00
Newfoundland,2016.00,298800.00,11636.00,6500.63,345.00,40700.00,342472.00,2117189.00
Newfoundland,2017.00,294900.00,11505.00,6042.04,285.00,45600.00,343966.00,2114428.00
Newfoundland,2018.00,285000.00,11337.00,6041.56,300.00,45100.00,346836.00,2105228.00
Newfoundland,2019.00,272700.00,11277.00,6686.65,300.00,47100.00,349654.00,2096208.00
PEI,2015.00,204200.00,1584.00,4750.04,325.00,17500.00,292544.00,578067.00
PEI,2016.00,214700.00,1712.00,5012.62,325.00,23200.00,292419.00,585891.00
PEI,2017.00,240400.00,1762.00,4713.37,325.00,22300.00,299369.00,598819.00
PEI,2018.00,266400.00,1767.00,5391.93,330.00,21500.00,300355.00,612103.00
PEI,2019.00,277300.00,1799.00,6279.33,280.00,27500.00,310472.00,627367.00
Nova Scotia,2015.00,256100.00,17797.00,5727.24,1500.00,31600.00,307708.00,3749412.00
Nova Scotia,2016.00,261800.00,16613.00,5589.79,1440.00,32000.00,307157.00,3767892.00
Nova Scotia,2017.00,272100.00,17126.00,5731.87,1440.00,33100.00,313948.00,3797118.00
Nova Scotia,2018.00,275700.00,17709.00,5685.69,1435.00,35200.00,320594.00,3830309.00
Nova Scotia,2019.00,282700.00,17027.00,5873.28,1415.00,36100.00,325800.00,3876364.00
New Brunswick,2015.00,199800.00,17835.00,5478.74,900.00,25400.00,289735.00,3037185.00
New Brunswick,2016.00,207800.00,18723.00,5276.22,900.00,31300.00,294947.00,3051063.00
New Brunswick,2017.00,208200.00,17629.00,5753.30,880.00,32500.00,302207.00,3063986.00
New Brunswick,2018.00,214800.00,17648.00,6055.68,880.00,31800.00,306908.00,3079425.00
New Brunswick,2019.00,218100.00,16833.00,6752.37,900.00,31900.00,313579.00,3104622.00
Quebec,2015.00,305800.00,90142.00,4252.49,34705.00,28900.00,289963.00,32691481.00
Quebec,2016.00,316000.00,88569.00,4232.93,34530.00,30400.00,296890.00,32873351.00
Quebec,2017.00,327900.00,90580.00,4329.65,34440.00,32500.00,304121.00,33168867.00
Quebec,2018.00,341000.00,91805.00,4164.85,34805.00,34500.00,313097.00,33554595.00
Quebec,2019.00,359600.00,92857.00,4065.71,35240.00,36500.00,323801.00,33960015.00
Ontario,2015.00,455000.00,168636.00,4021.58,91440.00,29200.00,362292.00,54792403.00
Ontario,2016.00,515200.00,165764.00,4090.89,92575.00,30500.00,367032.00,55411999.00
Ontario,2017.00,600300.00,164381.00,4259.47,93480.00,31900.00,376356.00,56199095.00
Ontario,2018.00,606600.00,169954.00,4509.15,94990.00,34500.00,385421.00,57124073.00
Ontario,2019.00,630600.00,170001.00,4544.10,96210.00,35300.00,397097.00,58077322.00
Manitoba,2015.00,283000.00,20876.00,8925.91,9350.00,32700.00,342048.00,5164103.00
Manitoba,2016.00,288800.00,21317.00,9507.82,9370.00,33500.00,344942.00,5244283.00
Manitoba,2017.00,297400.00,21879.00,9758.09,9290.00,34400.00,356258.00,5327896.00
Manitoba,2018.00,300000.00,22753.00,9998.34,9330.00,35000.00,358968.00,5402266.00
Manitoba,2019.00,305200.00,22375.00,10863.72,9275.00,35700.00,366168.00,5470522.00
Saskatchewan,2015.00,332600.00,76312.00,12919.20,5605.00,39500.00,376933.00,4482873.00
Saskatchewan,2016.00,332700.00,72437.00,13510.63,5615.00,38800.00,371777.00,4535597.00
Saskatchewan,2017.00,329900.00,75669.00,12983.31,5555.00,39900.00,377344.00,4594617.00
Saskatchewan,2018.00,326400.00,75911.00,12665.28,5490.00,40700.00,377657.00,4642806.00
Saskatchewan,2019.00,321700.00,73865.00,12897.62,5530.00,41300.00,382286.00,4686750.00
Alberta,2015.00,432800.00,278925.00,8916.56,28465.00,41100.00,457156.00,16548357.00
Alberta,2016.00,425900.00,261747.00,9025.97,28360.00,40600.00,436067.00,16756614.00
Alberta,2017.00,429800.00,271617.00,9335.17,28320.00,41100.00,443475.00,16945119.00
Alberta,2018.00,428500.00,276347.00,9392.19,28565.00,42400.00,447687.00,17166499.00
Alberta,2019.00,420900.00,278980.00,10026.65,29015.00,43100.00,455768.00,17422845.00
BC,2015.00,610000.00,80171.00,8608.09,33105.00,28800.00,346298.00,19082570.00
BC,2016.00,717600.00,80291.00,8488.51,33290.00,30700.00,351579.00,19386872.00
BC,2017.00,775400.00,81521.00,8090.02,33495.00,32500.00,362511.00,19681992.00
BC,2018.00,816300.00,83054.00,8250.95,33725.00,34400.00,368048.00,20001433.00
BC,2019.00,785500.00,83628.00,9573.92,33975.00,36400.00,384468.00,20339311.00